FA   16  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FA   17  1.002016  0.944076  0.999921  1.336330 -0.320352  2.839497 -1.324815  0.077452
FA   18  1.002016  0.944076  0.999921  1.336330 -0.320352  2.839497 -1.324815  0.077452
FA   19  1.002016  0.944076  0.999921  1.336330 -0.320352  2.839497 -1.324815  0.077452
FA   20  1.002016  0.944076  0.999921  1.336330 -0.320352  2.839497 -1.324815  0.077452
FA   21  1.002016  0.944076  0.999921  1.336330 -0.320352  2.839497 -1.324815  0.077452
PB    0  0.861179  0.951483  1.000957  0.752581 -0.167305  0.693611 -0.224137  0.008214
PB    1  0.804370  0.982874  0.999527  0.996958 -0.223248  1.106731 -0.459817 -0.003392
PB    2  0.804370  0.982874  0.999527  0.996958 -0.223248  1.106731 -0.459817 -0.003392
PB    3  0.804370  0.982874  0.999527  0.996958 -0.223248  1.106731 -0.459817 -0.003392
PB    4  0.804370  0.982874  0.999527  0.996958 -0.223248  1.106731 -0.459817 -0.003392
PB    5  0.804370  0.982874  0.999527  0.996958 -0.223248  1.106731 -0.459817 -0.003392
PB    6  0.804370  0.982874  0.999527  0.996958 -0.223248  1.106731 -0.459817 -0.003392
PB    7  0.913329  0.922590  1.002574  0.308448 -0.065670 -0.102130  0.226336  0.023148
PB    8  0.913329  0.922590  1.002574  0.308448 -0.065670 -0.102130  0.226336  0.023148
PB    9  0.913329  0.922590  1.002574  0.308448 -0.065670 -0.102130  0.226336  0.023148
PB   10  0.913329  0.922590  1.002574  0.308448 -0.065670 -0.102130  0.226336  0.023148
PB   11  0.913329  0.922590  1.002574  0.308448 -0.065670 -0.102130  0.226336  0.023148
PB   12  0.804370  0.982874  0.999527  0.996958 -0.223248  1.106731 -0.459817 -0.003392
PB   13  0.804370  0.982874  0.999527  0.996958 -0.223248  1.106731 -0.459817 -0.003392
PB   14  0.913329  0.922590  1.002574  0.308448 -0.065670 -0.102130  0.226336  0.023148
PB   15  0.804370  0.982874  0.999527  0.996958 -0.223248  1.106731 -0.459817 -0.003392
PB   16  0.804370  0.982874  0.999527  0.996958 -0.223248  1.106731 -0.459817 -0.003392
PB   17  0.861179  0.951483  1.000957  0.752581 -0.167305  0.693611 -0.224137  0.008214
PB   18  0.861179  0.951483  1.000957  0.752581 -0.167305  0.693611 -0.224137  0.008214
PB   19  0.861179  0.951483  1.000957  0.752581 -0.167305  0.693611 -0.224137  0.008214
PB   20  0.861179  0.951483  1.000957  0.752581 -0.167305  0.693611 -0.224137  0.008214
PB   21  0.861179  0.951483  1.000957  0.752581 -0.167305  0.693611 -0.224137  0.008214
PJ    0  0.940832  0.955575  0.999333  0.116311 -0.028172 -0.384427  0.304055  0.072192
SE    0  1.072576  0.897766  1.001919  1.301834 -0.305439  2.265717 -1.119671  0.123519
FD    0  0.913153  0.964386  0.998391  1.386315 -0.286495  1.783899 -0.916932  0.058830
LT    0  0.933517  0.965471  0.998393  2.079455 -0.462028  3.732057 -1.950194  0.190425
BW    0  0.894358  1.007721  0.991384 -0.483072  0.155593 -2.273122  1.326501  0.168897
