species,natsub,a0,a1,a2,b1,b2,b3,b4,b5,k7,k8
LT,16,0.933517,0.965471,0.998393,2.079455,-0.462028,3.732057,-1.950194,0.190425,0.37887,1.034008
LT,17,0.933517,0.965471,0.998393,2.079455,-0.462028,3.732057,-1.950194,0.190425,0.37887,1.034008
LT,18,0.933517,0.965471,0.998393,2.079455,-0.462028,3.732057,-1.950194,0.190425,0.37887,1.034008
LT,19,0.933517,0.965471,0.998393,2.079455,-0.462028,3.732057,-1.950194,0.190425,0.37887,1.034008
LT,20,0.933517,0.965471,0.998393,2.079455,-0.462028,3.732057,-1.950194,0.190425,0.37887,1.034008
PB,0,0.861179,0.951483,1.000957,0.752581,-0.167305,0.693611,-0.224137,0.008214,0.149322,1.117988
PB,1,0.80437,0.982874,0.999527,0.996958,-0.223248,1.106731,-0.459817,-0.003392,0.109731,1.12512
PB,2,0.80437,0.982874,0.999527,0.996958,-0.223248,1.106731,-0.459817,-0.003392,0.109731,1.12512
PB,3,0.80437,0.982874,0.999527,0.996958,-0.223248,1.106731,-0.459817,-0.003392,0.109731,1.12512
PB,4,0.80437,0.982874,0.999527,0.996958,-0.223248,1.106731,-0.459817,-0.003392,0.109731,1.12512
PB,5,0.80437,0.982874,0.999527,0.996958,-0.223248,1.106731,-0.459817,-0.003392,0.109731,1.12512
PB,6,0.80437,0.982874,0.999527,0.996958,-0.223248,1.106731,-0.459817,-0.003392,0.109731,1.12512
PB,7,0.913329,0.92259,1.002574,0.308448,-0.06567,-0.10213,0.226336,0.023148,0.257085,1.10315
PB,8,0.913329,0.92259,1.002574,0.308448,-0.06567,-0.10213,0.226336,0.023148,0.257085,1.10315
PB,9,0.913329,0.92259,1.002574,0.308448,-0.06567,-0.10213,0.226336,0.023148,0.257085,1.10315
PB,10,0.913329,0.92259,1.002574,0.308448,-0.06567,-0.10213,0.226336,0.023148,0.257085,1.10315
PB,11,0.913329,0.92259,1.002574,0.308448,-0.06567,-0.10213,0.226336,0.023148,0.257085,1.10315
PB,12,0.80437,0.982874,0.999527,0.996958,-0.223248,1.106731,-0.459817,-0.003392,0.109731,1.12512
PB,13,0.80437,0.982874,0.999527,0.996958,-0.223248,1.106731,-0.459817,-0.003392,0.109731,1.12512
PB,14,0.913329,0.92259,1.002574,0.308448,-0.06567,-0.10213,0.226336,0.023148,0.257085,1.10315
PB,15,0.80437,0.982874,0.999527,0.996958,-0.223248,1.106731,-0.459817,-0.003392,0.109731,1.12512
PB,16,0.80437,0.982874,0.999527,0.996958,-0.223248,1.106731,-0.459817,-0.003392,0.109731,1.12512
PB,17,0.861179,0.951483,1.000957,0.752581,-0.167305,0.693611,-0.224137,0.008214,0.149322,1.117988
PB,18,0.861179,0.951483,1.000957,0.752581,-0.167305,0.693611,-0.224137,0.008214,0.149322,1.117988
PB,19,0.861179,0.951483,1.000957,0.752581,-0.167305,0.693611,-0.224137,0.008214,0.149322,1.117988
PB,20,0.861179,0.951483,1.000957,0.752581,-0.167305,0.693611,-0.224137,0.008214,0.149322,1.117988
PJ,0,0.940832,0.955575,0.999333,0.116311,-0.028172,-0.384427,0.304055,0.072192,0.161727,1.045672
PJ,1,0.940832,0.955575,0.999333,0.116311,-0.028172,-0.384427,0.304055,0.072192,0.161727,1.045672
PJ,2,0.940832,0.955575,0.999333,0.116311,-0.028172,-0.384427,0.304055,0.072192,0.161727,1.045672
PJ,3,0.940832,0.955575,0.999333,0.116311,-0.028172,-0.384427,0.304055,0.072192,0.161727,1.045672
PJ,4,0.940832,0.955575,0.999333,0.116311,-0.028172,-0.384427,0.304055,0.072192,0.161727,1.045672
PJ,5,0.940832,0.955575,0.999333,0.116311,-0.028172,-0.384427,0.304055,0.072192,0.161727,1.045672
PJ,6,0.940832,0.955575,0.999333,0.116311,-0.028172,-0.384427,0.304055,0.072192,0.161727,1.045672
PJ,7,0.940832,0.955575,0.999333,0.116311,-0.028172,-0.384427,0.304055,0.072192,0.161727,1.045672
PJ,8,0.940832,0.955575,0.999333,0.116311,-0.028172,-0.384427,0.304055,0.072192,0.161727,1.045672
PJ,9,0.940832,0.955575,0.999333,0.116311,-0.028172,-0.384427,0.304055,0.072192,0.161727,1.045672
PJ,10,0.940832,0.955575,0.999333,0.116311,-0.028172,-0.384427,0.304055,0.072192,0.161727,1.045672
PJ,11,0.940832,0.955575,0.999333,0.116311,-0.028172,-0.384427,0.304055,0.072192,0.161727,1.045672
PJ,12,0.940832,0.955575,0.999333,0.116311,-0.028172,-0.384427,0.304055,0.072192,0.161727,1.045672
PJ,13,0.940832,0.955575,0.999333,0.116311,-0.028172,-0.384427,0.304055,0.072192,0.161727,1.045672
PJ,14,0.940832,0.955575,0.999333,0.116311,-0.028172,-0.384427,0.304055,0.072192,0.161727,1.045672
PJ,15,0.940832,0.955575,0.999333,0.116311,-0.028172,-0.384427,0.304055,0.072192,0.161727,1.045672
PJ,16,0.940832,0.955575,0.999333,0.116311,-0.028172,-0.384427,0.304055,0.072192,0.161727,1.045672
PJ,17,0.940832,0.955575,0.999333,0.116311,-0.028172,-0.384427,0.304055,0.072192,0.161727,1.045672
PJ,18,0.940832,0.955575,0.999333,0.116311,-0.028172,-0.384427,0.304055,0.072192,0.161727,1.045672
PJ,19,0.940832,0.955575,0.999333,0.116311,-0.028172,-0.384427,0.304055,0.072192,0.161727,1.045672
PJ,20,0.940832,0.955575,0.999333,0.116311,-0.028172,-0.384427,0.304055,0.072192,0.161727,1.045672
PL,0,0.897617,0.988518,0.998735,0.675759,-0.130313,0.570634,-0.275457,0.105403,0.283173,1.025305
PL,1,1.033572,0.913621,1.000765,0.256633,-0.049091,-0.252118,0.174267,0.123722,0.189744,1.04681
PL,2,1.033572,0.913621,1.000765,0.256633,-0.049091,-0.252118,0.174267,0.123722,0.189744,1.04681
PL,3,1.033572,0.913621,1.000765,0.256633,-0.049091,-0.252118,0.174267,0.123722,0.189744,1.04681
PL,4,0.828665,1.024196,0.997492,0.596193,-0.118777,0.465591,-0.196176,0.083094,0.308258,1.024549
