species,natsub,b1,b2,b3
PB,20,1.8089,0.5775,-0.0457
PB,21,1.8089,0.5775,-0.0457
PJ,0,2.0408,0.5377,-0.0455
PJ,1,2.0408,0.5377,-0.0455
PJ,2,2.0408,0.5377,-0.0455
PJ,3,2.0408,0.5377,-0.0455
PJ,4,2.0408,0.5377,-0.0455
PJ,5,2.0408,0.5377,-0.0455
PJ,6,2.0408,0.5377,-0.0455
PJ,7,2.0408,0.5377,-0.0455
PJ,8,2.0408,0.5377,-0.0455
PJ,9,2.0408,0.5377,-0.0455
PJ,10,2.0408,0.5377,-0.0455
PJ,11,2.0408,0.5377,-0.0455
PJ,12,2.0408,0.5377,-0.0455
PJ,13,2.0408,0.5377,-0.0455
PJ,14,2.0408,0.5377,-0.0455
PJ,15,2.0408,0.5377,-0.0455
PJ,16,2.0408,0.5377,-0.0455
PJ,17,2.0408,0.5377,-0.0455
PJ,18,2.0408,0.5377,-0.0455
PJ,19,2.0408,0.5377,-0.0455
PJ,20,2.0408,0.5377,-0.0455
PJ,21,2.0408,0.5377,-0.0455
PL,0,2.1881,0.6161,-0.0264
PL,1,0.7709,1.1891,0.0033
PL,2,0.7709,1.1891,0.0033
PL,3,0.7709,1.1891,0.0033
PL,4,0.7709,1.1891,0.0033
PL,5,0.7709,1.1891,0.0033
PL,6,0.7709,1.1891,0.0033
PL,7,1.4346,0.8765,-0.015
PL,8,1.4346,0.8765,-0.015
PL,9,1.4346,0.8765,-0.015
PL,10,2.0221,0.6827,-0.0209
PL,11,2.0042,0.5926,-0.0327
PL,12,0.7709,1.1891,0.0033
PL,13,0.7709,1.1891,0.0033
PL,14,0.7709,1.1891,0.0033
PL,15,0.7709,1.1891,0.0033
PL,16,0.7709,1.1891,0.0033
PL,17,0.7709,1.1891,0.0033
PL,18,0.7709,1.1891,0.0033
PL,19,0.7709,1.1891,0.0033
PL,20,0.7709,1.1891,0.0033
PL,21,0.7709,1.1891,0.0033
SB,0,2.1948,0.6184,-0.0273
SB,1,2.1028,0.6291,-0.0283
SB,2,2.1028,0.6291,-0.0283
SB,3,2.1028,0.6291,-0.0283
SB,4,2.1028,0.6291,-0.0283
SB,5,2.1028,0.6291,-0.0283
SB,6,2.1028,0.6291,-0.0283
SB,7,2.2353,0.6769,-0.0183
SB,8,2.2353,0.6769,-0.0183
SB,9,2.2353,0.6769,-0.0183
SB,10,2.2353,0.6769,-0.0183
SB,11,2.0853,0.6005,-0.0324
SB,12,2.1028,0.6291,-0.0283
SB,13,2.1028,0.6291,-0.0283
SB,14,2.1028,0.6291,-0.0283
SB,15,2.1028,0.6291,-0.0283
SB,16,2.1028,0.6291,-0.0283
SB,17,2.1028,0.6291,-0.0283
SB,18,2.1028,0.6291,-0.0283
SB,19,2.1028,0.6291,-0.0283
SB,20,2.1028,0.6291,-0.0283
SB,21,2.1028,0.6291,-0.0283
SW,0,2.2494,0.6556,-0.0233
SW,1,2.3239,0.5529,-0.0333
SW,2,2.3239,0.5529,-0.0333
SW,3,2.3239,0.5529,-0.0333
SW,4,2.3239,0.5529,-0.0333
SW,5,2.3239,0.5529,-0.0333
SW,6,2.3239,0.5529,-0.0333
SW,7,2.0569,0.6639,-0.0395
SW,8,2.0569,0.6639,-0.0395
SW,9,2.0569,0.6639,-0.0395
SW,10,2.1868,0.6519,-0.03
SW,11,2.1828,0.6994,-0.0198
SW,12,2.3239,0.5529,-0.0333
SW,13,2.3239,0.5529,-0.0333
SW,14,2.3239,0.5529,-0.0333
SW,15,2.3239,0.5529,-0.0333
SW,16,2.3239,0.5529,-0.0333
SW,17,2.3239,0.5529,-0.0333
SW,18,2.3239,0.5529,-0.0333
SW,19,2.3239,0.5529,-0.0333
SW,20,2.3239,0.5529,-0.0333
SW,21,2.3239,0.5529,-0.0333
